1,1,1,Ice,A cold terrain with sparse life
2,1,2,Frosty,A cold-to-temperate terrain with sparse-to-moderate life
3,1,4,Permafrost,A cold-to-temperate terrain with sparse life
4,2,1,Snowy,A temperate-to-cold terrain with moderate-to-sparse life
5,2,2,Grassy,A temperate terrain with moderate life
6,2,3,Meadow,A temperate-to-warm terrain with moderate-to-dense life
7,2,4,Wasting,A temperate terrain with moderate-to-sparse life
8,2,5,Dusty,A temperate-to-warm terrain with moderate-to-sparse life
9,2,6,Pasture,A temperate-to-warm terrain with moderate-to-sparse life
10,3,2,Prairie,A warm-to-temperate terrain with dense-to-moderate life
11,3,3,Lush,A warm terrain with dense life
12,3,7,Tropical,A warm-to-hot terrain with dense-to-sparse life
13,4,1,Raw,A temperate-to-cold terrain with sparse life
14,4,2,Dying,A temperate terrain with sparse-to-moderate life
15,4,4,Barren,A temperate terrain with sparse life
16,4,5,Clay,A temperate-to-warm terrain with sparse life
17,4,6,Fallow,A temperate-to-warm terrain with sparse life
18,4,7,Desolate,A temperate-to-hot terrain with sparse life
19,5,2,Parched,A warm-to-temperate terrain with sparse-to-moderate life
20,5,4,Dry,A warm-to-temperate terrain with sparse life
21,5,5,Sandy,A warm terrain with sparse life
22,5,6,Xeric,A warm terrain with sparse life
23,5,7,Bleak,A warm-to-hot terrain with sparse life
24,6,2,Steppe,A warm-to-temperate terrain with sparse-to-moderate life
25,6,4,Torrid,A warm-to-temperate terrain with sparse life
26,6,5,Wispy,A warm terrain with sparse life
27,6,6,Savannah,A warm terrain with sparse life
28,6,7,Sweltering,A warm-to-hot terrain with sparse life
29,7,3,Equatorial,A hot-to-warm terrain with sparse-to-dense life
30,7,4,Red,A hot-to-temperate terrain with sparse life
31,7,5,Burning,A hot-to-warm terrain with sparse life
32,7,6,Scorched,A hot-to-warm terrain with sparse life
33,7,7,Arid,A hot terrain with sparse life
